chemical_name,crop_name,problem_name,organic_alternative,quantity,application_time,safety_note,combined_features
Blitox (Copper Oxychloride),Cotton (Patti / Pratti / Kapas),Root Rot & Wilt (Veru kullu tegulu / Ukhtha rog),Jivamrutham soil drenching,1 Unit/Acre,As needed Application,Safe organic preparation.,blitox (copper oxychloride) cotton (patti / pratti / kapas) root rot & wilt (veru kullu tegulu / ukhtha rog)
Ridomil (Metalaxyl),Cotton (Patti / Pratti / Kapas),Root Rot & Wilt (Veru kullu tegulu / Ukhtha rog),Trichoderma harzianium enriched FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,ridomil (metalaxyl) cotton (patti / pratti / kapas) root rot & wilt (veru kullu tegulu / ukhtha rog)
Confidor (Imidacloprid),Cotton (Patti / Pratti / Kapas),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Verticillium lecanii,1 Unit/Acre,As needed Application,Safe organic preparation.,confidor (imidacloprid) cotton (patti / pratti / kapas) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Proclaim (Emamectin Benzoate),Cotton (Patti / Pratti / Kapas),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Yellow & Blue Sticky Traps,1 Unit/Acre,As needed Application,Safe organic preparation.,proclaim (emamectin benzoate) cotton (patti / pratti / kapas) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Tracer (Spinosad),Cotton (Patti / Pratti / Kapas),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Neem Oil (10000 ppm),1 Unit/Acre,As needed Application,Broad spectrum bio-pesticide. Keep away from bees.,tracer (spinosad) cotton (patti / pratti / kapas) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
Asataf (Acephate),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Aphids (Penu banka / Mahu),Agniastra,1 Unit/Acre,As needed Application,High potency bio-pesticide. Wear gloves during use.,asataf (acephate) groundnut (palli / verusenaga / mungfali / peanut) aphids (penu banka / mahu)
Rogor (Dimethoate),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Aphids (Penu banka / Mahu),Brahmastra,1 Unit/Acre,As needed Application,Effective against sucking pests. Avoid eye contact.,rogor (dimethoate) groundnut (palli / verusenaga / mungfali / peanut) aphids (penu banka / mahu)
Atrataf (Atrazine),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,atrataf (atrazine) groundnut (palli / verusenaga / mungfali / peanut) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Gramoxone (Paraquat),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,gramoxone (paraquat) groundnut (palli / verusenaga / mungfali / peanut) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Roundup (Glyphosate),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,roundup (glyphosate) groundnut (palli / verusenaga / mungfali / peanut) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Stomp (Pendimethalin),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,stomp (pendimethalin) groundnut (palli / verusenaga / mungfali / peanut) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Bavistin (Carbendazim - Tegulu mandu),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Pseudomonas fluorescens,1 Unit/Acre,As needed Application,Safe for humans. Apply in evening for best result.,bavistin (carbendazim - tegulu mandu) groundnut (palli / verusenaga / mungfali / peanut) leaf spot & blight (aaku macha tegulu / jhulsa rog)
M-45 / Dithane (Mancozeb),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Sour Buttermilk Spray,1 Unit/Acre,As needed Application,Kitchen-safe remedy. Effective for fungal control.,m-45 / dithane (mancozeb) groundnut (palli / verusenaga / mungfali / peanut) leaf spot & blight (aaku macha tegulu / jhulsa rog)
Tilt (Propiconazole),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Trichoderma viride,1 Unit/Acre,As needed Application,Eco-friendly bio-fungicide. Store in cool place.,tilt (propiconazole) groundnut (palli / verusenaga / mungfali / peanut) leaf spot & blight (aaku macha tegulu / jhulsa rog)
19 19 19 (NPK),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Phosphorus & Potassium deficiency (Poshakala lopam),Wood Ash,1 Unit/Acre,As needed Application,Natural potassium source. Avoid direct seed contact.,19 19 19 (npk) groundnut (palli / verusenaga / mungfali / peanut) phosphorus & potassium deficiency (poshakala lopam)
20 20 20 (NPK),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,20 20 20 (npk) groundnut (palli / verusenaga / mungfali / peanut) phosphorus & potassium deficiency (poshakala lopam)
28 28 0 (Gromor),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,28 28 0 (gromor) groundnut (palli / verusenaga / mungfali / peanut) phosphorus & potassium deficiency (poshakala lopam)
DAP (Eruvu / Khad),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,dap (eruvu / khad) groundnut (palli / verusenaga / mungfali / peanut) phosphorus & potassium deficiency (poshakala lopam)
MOP (Eruvu / Khad),Groundnut (Palli / Verusenaga / Mungfali / Peanut),Phosphorus & Potassium deficiency (Poshakala lopam),Phosphorus Solubilizing Bacteria (PSB) + FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,mop (eruvu / khad) groundnut (palli / verusenaga / mungfali / peanut) phosphorus & potassium deficiency (poshakala lopam)
Atrataf (Atrazine),Maize (Mokka Jonna / Makka / Bhutta / Corn),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,Seasonal Application,Safe organic preparation.,atrataf (atrazine) maize (mokka jonna / makka / bhutta / corn) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Gramoxone (Paraquat),Maize (Mokka Jonna / Makka / Bhutta / Corn),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,gramoxone (paraquat) maize (mokka jonna / makka / bhutta / corn) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Roundup (Glyphosate),Maize (Mokka Jonna / Makka / Bhutta / Corn),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,roundup (glyphosate) maize (mokka jonna / makka / bhutta / corn) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Stomp (Pendimethalin),Maize (Mokka Jonna / Makka / Bhutta / Corn),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,stomp (pendimethalin) maize (mokka jonna / makka / bhutta / corn) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Ammonium Sulphate,Maize (Mokka Jonna / Makka / Bhutta / Corn),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Azolla & Blue Green Algae (BGA),1 Unit/Acre,As needed Application,Safe organic preparation.,ammonium sulphate maize (mokka jonna / makka / bhutta / corn) nitrogen deficiency (poshakala lopam / natijan lopam)
Urea (Eruvu / Khad),Maize (Mokka Jonna / Makka / Bhutta / Corn),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Jeevamrutham,2 Unit/Acre,Seasonal Application,Universal bio-culture. Enhances soil microbial life.,urea (eruvu / khad) maize (mokka jonna / makka / bhutta / corn) nitrogen deficiency (poshakala lopam / natijan lopam)
Cartap Hydrochloride,Maize (Mokka Jonna / Makka / Bhutta / Corn),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Dashaparni Kashayam,1 Unit/Acre,As needed Application,Total pest control. High shelf life.,cartap hydrochloride maize (mokka jonna / makka / bhutta / corn) stem borer (kandam tholuchu purugu / tana chedak)
Dursban (Chlorpyrifos),Maize (Mokka Jonna / Makka / Bhutta / Corn),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Beauveria bassiana,1 Unit/Acre,As needed Application,Biocontrol agent. Safe for all crops.,dursban (chlorpyrifos) maize (mokka jonna / makka / bhutta / corn) stem borer (kandam tholuchu purugu / tana chedak)
Fipronil (Regent),Maize (Mokka Jonna / Makka / Bhutta / Corn),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Beauveria bassiana,1 Unit/Acre,As needed Application,Biocontrol agent. Safe for all crops.,fipronil (regent) maize (mokka jonna / makka / bhutta / corn) stem borer (kandam tholuchu purugu / tana chedak)
Bavistin (Carbendazim - Tegulu mandu),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Pseudomonas fluorescens,1 Unit/Acre,As needed Application,Safe for humans. Apply in evening for best result.,bavistin (carbendazim - tegulu mandu) mango (mamidi/aam) & sweet orange (bathayi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
M-45 / Dithane (Mancozeb),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Sour Buttermilk Spray,1 Unit/Acre,As needed Application,Kitchen-safe remedy. Effective for fungal control.,m-45 / dithane (mancozeb) mango (mamidi/aam) & sweet orange (bathayi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
Tilt (Propiconazole),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Trichoderma viride,1 Unit/Acre,As needed Application,Eco-friendly bio-fungicide. Store in cool place.,tilt (propiconazole) mango (mamidi/aam) & sweet orange (bathayi) leaf spot & blight (aaku macha tegulu / jhulsa rog)
19 19 19 (NPK),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Phosphorus & Potassium deficiency (Poshakala lopam),Wood Ash,1 Unit/Acre,As needed Application,Natural potassium source. Avoid direct seed contact.,19 19 19 (npk) mango (mamidi/aam) & sweet orange (bathayi) phosphorus & potassium deficiency (poshakala lopam)
20 20 20 (NPK),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,20 20 20 (npk) mango (mamidi/aam) & sweet orange (bathayi) phosphorus & potassium deficiency (poshakala lopam)
28 28 0 (Gromor),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,28 28 0 (gromor) mango (mamidi/aam) & sweet orange (bathayi) phosphorus & potassium deficiency (poshakala lopam)
DAP (Eruvu / Khad),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,3 Unit/Acre,Yearly Application,Rich in phosphorus. Mix well with soil.,dap (eruvu / khad) mango (mamidi/aam) & sweet orange (bathayi) phosphorus & potassium deficiency (poshakala lopam)
MOP (Eruvu / Khad),Mango (Mamidi/Aam) & Sweet Orange (Bathayi),Phosphorus & Potassium deficiency (Poshakala lopam),Phosphorus Solubilizing Bacteria (PSB) + FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,mop (eruvu / khad) mango (mamidi/aam) & sweet orange (bathayi) phosphorus & potassium deficiency (poshakala lopam)
Atrataf (Atrazine),Paddy (Vari / Tari / Dhan / Chawal / Rice),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,atrataf (atrazine) paddy (vari / tari / dhan / chawal / rice) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Gramoxone (Paraquat),Paddy (Vari / Tari / Dhan / Chawal / Rice),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,gramoxone (paraquat) paddy (vari / tari / dhan / chawal / rice) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Roundup (Glyphosate),Paddy (Vari / Tari / Dhan / Chawal / Rice),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Organic Mulching (Paddy straw),1 Unit/Acre,As needed Application,Safe organic preparation.,roundup (glyphosate) paddy (vari / tari / dhan / chawal / rice) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Stomp (Pendimethalin),Paddy (Vari / Tari / Dhan / Chawal / Rice),Broadleaf & Grassy weeds (Vedalpaku & Gaddi jathi kallepu),Manual Weeding,1 Unit/Acre,As needed Application,Safe organic preparation.,stomp (pendimethalin) paddy (vari / tari / dhan / chawal / rice) broadleaf & grassy weeds (vedalpaku & gaddi jathi kallepu)
Bavistin (Carbendazim - Tegulu mandu),Paddy (Vari / Tari / Dhan / Chawal / Rice),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Pseudomonas fluorescens,1 Unit/Acre,As needed Application,Safe for humans. Apply in evening for best result.,bavistin (carbendazim - tegulu mandu) paddy (vari / tari / dhan / chawal / rice) leaf spot & blight (aaku macha tegulu / jhulsa rog)
M-45 / Dithane (Mancozeb),Paddy (Vari / Tari / Dhan / Chawal / Rice),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Sour Buttermilk Spray,1 Unit/Acre,As needed Application,Kitchen-safe remedy. Effective for fungal control.,m-45 / dithane (mancozeb) paddy (vari / tari / dhan / chawal / rice) leaf spot & blight (aaku macha tegulu / jhulsa rog)
Tilt (Propiconazole),Paddy (Vari / Tari / Dhan / Chawal / Rice),Leaf Spot & Blight (Aaku macha tegulu / Jhulsa rog),Trichoderma viride,1 Unit/Acre,As needed Application,Eco-friendly bio-fungicide. Store in cool place.,tilt (propiconazole) paddy (vari / tari / dhan / chawal / rice) leaf spot & blight (aaku macha tegulu / jhulsa rog)
Ammonium Sulphate,Paddy (Vari / Tari / Dhan / Chawal / Rice),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Azolla & Blue Green Algae (BGA),1 Unit/Acre,As needed Application,Safe organic preparation.,ammonium sulphate paddy (vari / tari / dhan / chawal / rice) nitrogen deficiency (poshakala lopam / natijan lopam)
Urea (Eruvu / Khad),Paddy (Vari / Tari / Dhan / Chawal / Rice),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Jeevamrutham,2 Unit/Acre,Seasonal Application,Universal bio-culture. Enhances soil microbial life.,urea (eruvu / khad) paddy (vari / tari / dhan / chawal / rice) nitrogen deficiency (poshakala lopam / natijan lopam)
Cartap Hydrochloride,Paddy (Vari / Tari / Dhan / Chawal / Rice),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Dashaparni Kashayam,1 Unit/Acre,As needed Application,Total pest control. High shelf life.,cartap hydrochloride paddy (vari / tari / dhan / chawal / rice) stem borer (kandam tholuchu purugu / tana chedak)
Dursban (Chlorpyrifos),Paddy (Vari / Tari / Dhan / Chawal / Rice),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Beauveria bassiana,1 Unit/Acre,As needed Application,Biocontrol agent. Safe for all crops.,dursban (chlorpyrifos) paddy (vari / tari / dhan / chawal / rice) stem borer (kandam tholuchu purugu / tana chedak)
Fipronil (Regent),Paddy (Vari / Tari / Dhan / Chawal / Rice),Stem Borer (Kandam tholuchu purugu / Tana Chedak),Beauveria bassiana,1 Unit/Acre,As needed Application,Biocontrol agent. Safe for all crops.,fipronil (regent) paddy (vari / tari / dhan / chawal / rice) stem borer (kandam tholuchu purugu / tana chedak)
Asataf (Acephate),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Aphids (Penu banka / Mahu),Agniastra,1 Unit/Acre,As needed Application,High potency bio-pesticide. Wear gloves during use.,asataf (acephate) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) aphids (penu banka / mahu)
Rogor (Dimethoate),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Aphids (Penu banka / Mahu),Brahmastra,1 Unit/Acre,As needed Application,Effective against sucking pests. Avoid eye contact.,rogor (dimethoate) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) aphids (penu banka / mahu)
19 19 19 (NPK),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Phosphorus & Potassium deficiency (Poshakala lopam),Wood Ash,1 Unit/Acre,As needed Application,Natural potassium source. Avoid direct seed contact.,19 19 19 (npk) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) phosphorus & potassium deficiency (poshakala lopam)
20 20 20 (NPK),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,20 20 20 (npk) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) phosphorus & potassium deficiency (poshakala lopam)
28 28 0 (Gromor),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,28 28 0 (gromor) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) phosphorus & potassium deficiency (poshakala lopam)
DAP (Eruvu / Khad),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Phosphorus & Potassium deficiency (Poshakala lopam),Bone Meal,1 Unit/Acre,As needed Application,Rich in phosphorus. Mix well with soil.,dap (eruvu / khad) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) phosphorus & potassium deficiency (poshakala lopam)
MOP (Eruvu / Khad),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Phosphorus & Potassium deficiency (Poshakala lopam),Phosphorus Solubilizing Bacteria (PSB) + FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,mop (eruvu / khad) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) phosphorus & potassium deficiency (poshakala lopam)
Blitox (Copper Oxychloride),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Root Rot & Wilt (Veru kullu tegulu / Ukhtha rog),Jivamrutham soil drenching,1 Unit/Acre,As needed Application,Safe organic preparation.,blitox (copper oxychloride) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) root rot & wilt (veru kullu tegulu / ukhtha rog)
Ridomil (Metalaxyl),Red Gram (Kandi / Tur / Arhar) & Bengal Gram (Senaga / Chana),Root Rot & Wilt (Veru kullu tegulu / Ukhtha rog),Trichoderma harzianium enriched FYM,1 Unit/Acre,As needed Application,Safe organic preparation.,ridomil (metalaxyl) red gram (kandi / tur / arhar) & bengal gram (senaga / chana) root rot & wilt (veru kullu tegulu / ukhtha rog)
Ammonium Sulphate,Sugarcane (Cheraku / Ganna),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Azolla & Blue Green Algae (BGA),4 Unit/Acre,Yearly Application,Safe organic preparation.,ammonium sulphate sugarcane (cheraku / ganna) nitrogen deficiency (poshakala lopam / natijan lopam)
Urea (Eruvu / Khad),Sugarcane (Cheraku / Ganna),Nitrogen deficiency (Poshakala lopam / Natijan lopam),Jeevamrutham,10 Unit/Acre,Yearly Application,Universal bio-culture. Enhances soil microbial life.,urea (eruvu / khad) sugarcane (cheraku / ganna) nitrogen deficiency (poshakala lopam / natijan lopam)
Asataf (Acephate),Tomato (Tamata) & Onion (Ullipaya / Pyaz),Aphids (Penu banka / Mahu),Agniastra,1 Unit/Acre,As needed Application,High potency bio-pesticide. Wear gloves during use.,asataf (acephate) tomato (tamata) & onion (ullipaya / pyaz) aphids (penu banka / mahu)
Rogor (Dimethoate),Tomato (Tamata) & Onion (Ullipaya / Pyaz),Aphids (Penu banka / Mahu),Brahmastra,1 Unit/Acre,As needed Application,Effective against sucking pests. Avoid eye contact.,rogor (dimethoate) tomato (tamata) & onion (ullipaya / pyaz) aphids (penu banka / mahu)
Confidor (Imidacloprid),Tomato (Tamata) & Onion (Ullipaya / Pyaz),Thrips & Whiteflies (Tella doma / Taamara purugu / Safed Makkhi),Verticillium lecanii,1 Unit/Acre,As needed Application,Safe organic preparation.,confidor (imidacloprid) tomato (tamata) & onion (ullipaya / pyaz) thrips & whiteflies (tella doma / taamara purugu / safed makkhi)
